,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,authors,firstAuthor,date,category,citationNumber,hIndex,impact,eid,authorEid
10,10,10,10,Molecular recognition between ketosynthase and acyl carrier protein domains of the 6-deoxyerythronolide B synthase,Shiven Kapur; Alice Y. Chen; David E. Cane; and Chaitan Khosla,Shiven Kapur,December 21; 2010 ,Biochemistry,39.0,9,"(87, 3, 29.0)",2-s2.0-78650660868,7102708903
11,11,11,11,Mechanism for the inhibition of the carboxyltransferase domain of acetyl-coenzyme A carboxylase by pinoxaden,Linda P. C. Yu; Yi Seul Kim; and Liang Tong,Linda P. C. Yu,December 21; 2010 ,Biochemistry,37.0,-1,0,0,0
12,12,12,12,Structural insights into the activation mechanism of melibiose permease by sodium binding,Meritxell Granell; Xavier León; Gérard Leblanc; Esteve Padrós; and Víctor A. Lórenz-Fonfría,Meritxell Granell,December 21; 2010 ,Biochemistry,19.0,5,"(11, 1, 11.0)",2-s2.0-78650649169,6603434414
13,13,13,13,Opn5 is a UV-sensitive bistable pigment that couples with Gi subtype of G protein,Takahiro Yamashita; Hideyo Ohuchi; Sayuri Tomonari; Keiko Ikeda; Kazumi Sakai; and Yoshinori Shichida,Takahiro Yamashita,December 21; 2010 ,Biochemistry,62.0,15,"(90, 4, 22.5)",2-s2.0-78650674434,35412062800
14,14,14,14,Apurinic/apyrimidinic (AP) site recognition by the 5′-dRP/AP lyase in poly(ADP-ribose) polymerase-1 (PARP-1),S. N. Khodyreva; R. Prasad; E. S. Ilina; M. V. Sukhanova; M. M. Kutuzov; Y. Liu; E. W. Hou; S. H. Wilson; and O. I. Lavrik,S. N. Khodyreva,December 21; 2010 ,Biochemistry,63.0,20,"(45, 7, 6.428571428571429)",2-s2.0-78650670562,7005933902
15,15,15,15,Design of small molecules that target metal-Aβ species and regulate metal-induced Aβ aggregation and neurotoxicity,Jung-Suk Choi; Joseph J. Braymer; Ravi P. R. Nanga; Ayyalusamy Ramamoorthy; and Mi Hee Lim,Jung-Suk Choi,December 21; 2010 ,Biochemistry,174.0,-1,0,0,0
16,16,16,16,In vivo imaging of hydrogen peroxide production in a murine tumor model with a chemoselective bioluminescent reporter,Genevieve C. Van de Bittner; Elena A. Dubikovskaya; Carolyn R. Bertozzi; and Christopher J. Chang,Genevieve C. Van de Bittner,December 14; 2010 ,Biochemistry,193.0,8,"(0, 0, 0)",2-s2.0-78650735459,36706640400
17,17,17,17,UNC-45/CRO1/She4p (UCS) protein forms elongated dimer and joins two myosin heads near their actin binding region,Hang Shi and Günter Blobel,Hang Shi,December 14; 2010 ,Biochemistry,26.0,4,"(0, 0, 0)",2-s2.0-78650730499,55448199500
18,18,18,18,Cation-π interaction regulates ligand-binding affinity and signaling of integrin α4β7,YouDong Pan; Kun Zhang; JunPeng Qi; Jiao Yue; Timothy A. Springer; and JianFeng Chen,YouDong Pan,December 14; 2010 ,Biochemistry,13.0,-1,0,0,0
19,19,19,19,Strategies for stabilizing superoxide dismutase (SOD1); the protein destabilized in the most common form of familial amyotrophic lateral sclerosis,Jared R. Auclair; Kristin J. Boggio; Gregory A. Petsko; Dagmar Ringe; and Jeffrey N. Agar,Jared R. Auclair,December 14; 2010 ,Biochemistry,31.0,7,"(0, 0, 0)",2-s2.0-78650733738,38461028700
20,20,20,20,Structural identification of cation binding pockets in the plasma membrane proton pump,Kira Ekberg; Bjørn P. Pedersen; Danny M. Sørensen; Ann K. Nielsen; Bjarke Veierskov; Poul Nissen; Michael G. Palmgren; and Morten J. Buch-Pedersen,Kira Ekberg,December 14; 2010 ,Biochemistry,9.0,4,"(0, 0, 0)",2-s2.0-78650747006,36463376000
21,21,21,21,Crystal structure of a 117 kDa glucansucrase fragment provides insight into evolution and product specificity of GH70 enzymes,Andreja Vujičić-Žagar; Tjaard Pijning; Slavko Kralj; Cesar A. López; Wieger Eeuwema; Lubbert Dijkhuizen; and Bauke W. Dijkstra,Andreja Vujičić-Žagar,December 14; 2010 ,Biochemistry,78.0,9,"(73, 3, 24.333333333333332)",2-s2.0-78650734599,14066780700
22,22,22,22,Directed epitope delivery across the Escherichia coli outer membrane through the porin OmpF,Nicholas G. Housden; Justyna A. Wojdyla; Justyna Korczynska; Irina Grishkovskaya; Nadine Kirkpatrick; A. Marek Brzozowski; and Colin Kleanthous,Nicholas G. Housden,December 14; 2010 ,Biochemistry,54.0,15,"(60, 4, 15.0)",2-s2.0-78650758264,6506559744
23,23,23,23,Helicobacter pylori proinflammatory protein up-regulates NF-κB as a cell-translocating Ser/Thr kinase,Do Jin Kim; Kang-Seo Park; Jung-Ho Kim; Sang-Hwa Yang; Ji Young Yoon; Byeong-Gu Han; Hyoun Sook Kim; Sang Jae Lee; Jun Young Jang; Kyoung Hoon Kim; Mi Jung Kim; Jin-Su Song; Hie-Joon Kim; Chung-Mo Park; Sang-Kyou Lee; Byung Il Lee; and Se Won Suh,Do Jin Kim,December 14; 2010 ,Biochemistry,27.0,-1,0,0,0
24,24,24,24,Identification of Ubxd8 protein as a sensor for unsaturated fatty acids and regulator of triglyceride synthesis,Joon No Lee; Hyeonwoo Kim; Hongbing Yao; Yan Chen; Kayson Weng; and Jin Ye,Joon No Lee,December 14; 2010 ,Biochemistry,48.0,9,"(23, 1, 23.0)",2-s2.0-78650718129,55931469400
25,25,25,25,Targeted insertion of cysteine by decoding UGA codons with mammalian selenocysteine machinery,Xue-Ming Xu; Anton A. Turanov; Bradley A. Carlson; Min-Hyuk Yoo; Robert A. Everley; Renu Nandakumar; Irina Sorokina; Steven P. Gygi; Vadim N. Gladyshev; and Dolph L. Hatfield,Xue-Ming Xu,December 14; 2010 ,Biochemistry,34.0,19,"(80, 4, 20.0)",2-s2.0-78650724971,56647065600
26,26,26,26,Activation and intrinsic γ-secretase activity of presenilin 1,Kwangwook Ahn; Christopher C. Shelton; Yuan Tian; Xulun Zhang; M. Lane Gilchrist; Sangram S. Sisodia; and Yue-Ming Li,Kwangwook Ahn,December 14; 2010 ,Biochemistry,79.0,8,"(10, 1, 10.0)",2-s2.0-78650718960,25647384400
27,27,27,27,Annealing helicase 2 (AH2); a DNA-rewinding motor with an HNH motif,Timur Yusufzai and James T. Kadonaga,Timur Yusufzai,December 7; 2010 ,Biochemistry,33.0,8,"(227, 3, 75.66666666666667)",2-s2.0-78650448305,7801660341
28,28,28,28,Oxidation-induced intramolecular disulfide bond inactivates mitogen-activated protein kinase kinase 6 by inhibiting ATP binding,Yarui Diao; Wei Liu; Catherine C. L. Wong; Xi Wang; Kaman Lee; Po-yan Cheung; Lifeng Pan; Tao Xu; Jiahuai Han; John R. Yates III; Mingjie Zhang; and Zhenguo Wu,Yarui Diao,December 7; 2010 ,Biochemistry,18.0,9,"(43, 1, 43.0)",2-s2.0-78650476731,34876573000
29,29,29,29,Coordinated activities of wild-type plus mutant EZH2 drive tumor-associated hypertrimethylation of lysine 27 on histone H3 (H3K27) in human B-cell lymphomas,Christopher J. Sneeringer; Margaret Porter Scott; Kevin W. Kuntz; Sarah K. Knutson; Roy M. Pollock; Victoria M. Richon; and Robert A. Copeland,Christopher J. Sneeringer,December 7; 2010 ,Biochemistry,333.0,6,"(0, 0, 0)",2-s2.0-78650454078,37062000500
30,30,30,30,Superfamily-wide portrait of serine hydrolase inhibition achieved by library-versus-library screening,Daniel A. Bachovchin; Tianyang Ji; Weiwei Li; Gabriel M. Simon; Jacqueline L. Blankman; Alexander Adibekian; Heather Hoover; Sherry Niessen; and Benjamin F. Cravatt,Daniel A. Bachovchin,December 7; 2010 ,Biochemistry,115.0,18,"(131, 2, 65.5)",2-s2.0-78650495439,26432510200
31,31,31,31,p53-mediated apoptosis requires inositol hexakisphosphate kinase-2,Michael A. Koldobskiy; Anutosh Chakraborty; J. Kent Werner Jr.; Adele M. Snowman; Krishna R. Juluri; M. Scott Vandiver; Seyun Kim; Shira Heletz; and Solomon H. Snyder,Michael A. Koldobskiy,December 7; 2010 ,Biochemistry,43.0,11,"(70, 1, 70.0)",2-s2.0-78649955044,6507651900
32,32,32,32,Energetics and mechanisms of folding and flipping the myristoyl switch in the β-trefoil protein; hisactophilin,Martin T. J. Smith; Joseph Meissner; Samantha Esmonde; Hannah J. Wong; and Elizabeth M. Meiering,Martin T. J. Smith,December 7; 2010 ,Biochemistry,9.0,3,"(12, 1, 12.0)",2-s2.0-78650486925,26638495500
33,33,33,33,Structural basis for substrate activation and regulation by cystathionine beta-synthase (CBS) domains in cystathionine β-synthase,Markos Koutmos; Omer Kabil; Janet L. Smith; and Ruma Banerjee,Markos Koutmos,December 7; 2010 ,Biochemistry,54.0,16,"(248, 7, 35.42857142857143)",2-s2.0-79952723889,6506316447
34,34,34,34,Multiple tail domain interactions stabilize nonmuscle myosin II bipolar filaments,Derek Ricketson; Christopher A. Johnston; and Kenneth E. Prehoda,Derek Ricketson,December 7; 2010 ,Biochemistry,22.0,5,"(13, 1, 13.0)",2-s2.0-78650486924,15519757500
35,35,35,35,RNA editing changes the lesion specificity for the DNA repair enzyme NEIL1,Jongchan Yeo; Rena A. Goodman; Nicole T. Schirle; Sheila S. David; and Peter A. Beal,Jongchan Yeo,November 30; 2010 ,Biochemistry,64.0,2,"(0, 0, 0)",2-s2.0-78650542645,37068114600
36,36,36,36,Mechanism of replication blocking and bypass of Y-family polymerase η by bulky acetylaminofluorene DNA adducts,Stephanie Schorr; Sabine Schneider; Katja Lammens; Karl-Peter Hopfner; and Thomas Carell,Stephanie Schorr,November 30; 2010 ,Biochemistry,31.0,5,"(21, 3, 7.0)",2-s2.0-78650576180,26029594000
37,37,37,37,Cell-free fusion of bacteria-containing phagosomes with endocytic compartments,Ulrike Becken; Andreas Jeschke; Katharina Veltman; and Albert Haas,Ulrike Becken,November 30; 2010 ,Biochemistry,18.0,5,"(48, 2, 24.0)",2-s2.0-78650534686,23666303100
38,38,38,38,Asymmetric phosphorylation through catalytic P(III) phosphoramidite transfer: Enantioselective synthesis of d-myo-inositol-6-phosphate,Peter A. Jordan; Katherine J. Kayser-Bricker; and Scott J. Miller,Peter A. Jordan,November 30; 2010 ,Biochemistry,42.0,13,"(14, 1, 14.0)",2-s2.0-78650534687,36766242600
39,39,39,39,Structure of the bacteriophage T4 long tail fiber receptor-binding tip,Sergio G. Bartual; José M. Otero; Carmela Garcia-Doval; Antonio L. Llamas-Saiz; Richard Kahn; Gavin C. Fox; and Mark J. van Raaij,Sergio G. Bartual,November 23; 2010 ,Biochemistry,64.0,13,"(44, 1, 44.0)",2-s2.0-78650549528,8836825500
40,40,40,40,Dynamics of α-helical subdomain rotation in the intact maltose ATP-binding cassette transporter,Cédric Orelle; Frances Joan D. Alvarez; Michael L. Oldham; Arnaud Orelle; Theodore E. Wiley; Jue Chen; and Amy L. Davidson,Cédric Orelle,November 23; 2010 ,Biochemistry,41.0,16,"(923, 4, 230.75)",2-s2.0-78650549849,6506393404
41,41,41,41,Structural basis of oligomerization in septin-like GTPase of immunity-associated protein 2 (GIMAP2),David Schwefel; Chris Fröhlich; Jenny Eichhorst; Burkhard Wiesner; Joachim Behlke; L. Aravind; and Oliver Daumke,David Schwefel,November 23; 2010 ,Biochemistry,28.0,8,"(0, 0, 0)",2-s2.0-78650544157,36099276600
42,42,42,42,CpG methylation of half-CRE sequences creates C/EBPα binding sites that activate some tissue-specific genes,Vikas Rishi; Paramita Bhattacharya; Raghunath Chatterjee; Julian Rozenberg; Jianfei Zhao; Kimberly Glass; Peter Fitzgerald; and Charles Vinson,Vikas Rishi,November 23; 2010 ,Biochemistry,113.0,-1,0,0,0
43,43,43,43,Tetrameric organization of vertebrate centromeric nucleosomes,Emilios K. Dimitriadis; Christian Weber; Rajbir K. Gill; Stephan Diekmann; and Yamini Dalal,Emilios K. Dimitriadis,November 23; 2010 ,Biochemistry,63.0,21,"(256, 4, 64.0)",2-s2.0-78650581735,7003999622
44,44,44,44,tRNAHis guanylyltransferase (THG1); a unique 3′-5′ nucleotidyl transferase; shares unexpected structural homology with canonical 5′-3′ DNA polymerases,Samantha J. Hyde; Brian E. Eckenroth; Brian A. Smith; William A. Eberley; Nicholas H. Heintz; Jane E. Jackman; and Sylvie Doublié,Samantha J. Hyde,November 23; 2010 ,Biochemistry,28.0,2,"(0, 0, 0)",2-s2.0-78650524780,37066031400
45,45,45,45,Generation of longer emission wavelength red fluorescent proteins using computationally designed libraries,Roberto A. Chica; Matthew M. Moore; Benjamin D. Allen; and Stephen L. Mayo,Roberto A. Chica,November 23; 2010 ,Biochemistry,50.0,11,"(49, 2, 24.5)",2-s2.0-78650543850,6506212848
46,46,46,46,Sequence-specific assembly of FtsK hexamers establishes directional translocation on DNA,James E. Graham; David J. Sherratt; and Mark D. Szczelkun,James E. Graham,November 23; 2010 ,Biochemistry,33.0,23,"(154, 4, 38.5)",2-s2.0-78650535019,57168641100
47,47,47,47,Archaeal-like chaperonins in bacteria,Stephen M. Techtmann and Frank T. Robb,Stephen M. Techtmann,November 23; 2010 ,Biochemistry,16.0,10,"(39, 1, 39.0)",2-s2.0-78650542648,26533406400
48,48,48,48,Catalytic activation of histone acetyltransferase Rtt109 by a histone chaperone,Erin M. Kolonko; Brittany N. Albaugh; Scott E. Lindner; Yuanyuan Chen; Kenneth A. Satyshur; Kevin M. Arnold; Paul D. Kaufman; James L. Keck; and John M. Denu,Erin M. Kolonko,November 23; 2010 ,Biochemistry,30.0,5,"(178, 3, 59.333333333333336)",2-s2.0-78650539225,24166957100
49,49,49,49,Structure-based development of a receptor activator of nuclear factor-κB ligand (RANKL) inhibitor peptide and molecular basis for osteopetrosis,Hai Minh Ta; Giang Thi Tuyet Nguyen; Hye Mi Jin; Jongkeun Choi; Hyejin Park; Nacksung Kim; Hye-Yeon Hwang; and Kyeong Kyu Kim,Hai Minh Ta,November 23; 2010 ,Biochemistry,36.0,3,"(0, 0, 0)",2-s2.0-79959970164,36464414700
50,50,50,50,Filament structure of bacterial tubulin homologue TubZ,Christopher H. S. Aylett; Qing Wang; Katharine A. Michie; Linda A. Amos; and Jan Löwe,Christopher H. S. Aylett,November 16; 2010 ,Biochemistry,52.0,9,"(0, 0, 0)",2-s2.0-78650524797,36699191400
51,51,51,51,Phosphorylation of the spindle checkpoint protein Mad2 regulates its conformational transition,Soonjoung Kim; Hongbin Sun; Haydn L. Ball; Katja Wassmann; Xuelian Luo; and Hongtao Yu,Soonjoung Kim,November 16; 2010 ,Biochemistry,25.0,5,"(0, 0, 0)",2-s2.0-78650569571,37066168700
52,52,52,52,Structural basis for the one-pot formation of the diarylheptanoid scaffold by curcuminoid synthase from Oryza sativa,Hiroyuki Morita; Kiyofumi Wanibuchi; Hirohiko Nii; Ryohei Kato; Shigetoshi Sugio; and Ikuro Abe,Hiroyuki Morita,November 16; 2010 ,Biochemistry,25.0,22,"(204, 16, 12.75)",2-s2.0-78650544821,7402384527
53,53,53,53,Mechanism of ligand-gated potassium efflux in bacterial pathogens,Tarmo P. Roosild; Samantha Castronovo; Jess Healy; Samantha Miller; Christos Pliotas; Tim Rasmussen; Wendy Bartlett; Stuart J. Conway; and Ian R. Booth,Tarmo P. Roosild,November 16; 2010 ,Biochemistry,36.0,11,"(53, 2, 26.5)",2-s2.0-84896289596,6505779843
54,54,54,54,Role of tyrosyl-DNA phosphodiesterase (TDP1) in mitochondria,Benu Brata Das; Thomas S. Dexheimer; Kasthuraiah Maddali; and Yves Pommier,Benu Brata Das,November 16; 2010 ,Biochemistry,72.0,21,"(365, 7, 52.142857142857146)",2-s2.0-79551570800,7403286038
55,55,55,55,Physiologically relevant and portable tandem ubiquitin-binding domain stabilizes polyubiquitylated proteins,An Tyrrell; Karin Flick; Gary Kleiger; Hongwei Zhang; Raymond J. Deshaies; and Peter Kaiser,An Tyrrell,November 16; 2010 ,Biochemistry,11.0,2,"(0, 0, 0)",2-s2.0-78650534710,37066705200
56,56,56,56,Method to measure strong protein–protein interactions in lipid bilayers using a steric trap,Heedeok Hong; Tracy M. Blois; Zheng Cao; and James U. Bowie,Heedeok Hong,November 16; 2010 ,Biochemistry,55.0,13,"(13, 1, 13.0)",2-s2.0-78650553544,7401521495
57,57,57,57,Prion disease susceptibility is affected by β-structure folding propensity and local side-chain interactions in PrP,M. Qasim Khan; Braden Sweeting; Vikram Khipple Mulligan; Pharhad Eli Arslan; Neil R. Cashman; Emil F. Pai; and Avijit Chakrabartty,M. Qasim Khan,November 16; 2010 ,Biochemistry,70.0,1,"(0, 0, 0)",2-s2.0-78650575242,37066457000
58,58,58,58,Identification of the gene cluster for the dithiolopyrrolone antibiotic holomycin in Streptomyces clavuligerus,Bo Li and Christopher T. Walsh,Bo Li,November 16; 2010 ,Biochemistry,45.0,11,"(0, 0, 0)",2-s2.0-78650526727,55698677300
59,59,59,59,Stepwise loading of yeast clamp revealed by ensemble and single-molecule studies,Ravindra Kumar; Vishal C. Nashine; Padmaja P. Mishra; Stephen J. Benkovic; and Tae-Hee Lee,Ravindra Kumar,November 16; 2010 ,Biochemistry,18.0,31,"(530, 6, 88.33333333333333)",2-s2.0-78650557325,55492124000
60,60,60,60,Cell division cycle 6; a mitotic substrate of polo-like kinase 1; regulates chromosomal segregation mediated by cyclin-dependent kinase 1 and separase,Hyungshin Yim and Raymond L. Erikson,Hyungshin Yim,November 16; 2010 ,Biochemistry,19.0,15,"(61, 2, 30.5)",2-s2.0-78650525753,25960525500
61,61,61,61,Cryo-EM structure and rRNA model of a translating eukaryotic 80S ribosome at 5.5-Å resolution,Jean-Paul Armache; Alexander Jarasch; Andreas M. Anger; Elizabeth Villa; Thomas Becker; Shashi Bhushan; Fabrice Jossinet; Michael Habeck; Gülcin Dindar; Sibylle Franckenberg; Viter Marquez; Thorsten Mielke; Michael Thomm; Otto Berninghausen; Birgitta Beatrix; Johannes Söding; Eric Westhof; Daniel N. Wilson; and Roland Beckmann,Jean-Paul Armache,November 16; 2010 ,Biochemistry,116.0,15,"(365, 2, 182.5)",2-s2.0-78650546283,35331765400
62,62,62,62,Localization of eukaryote-specific ribosomal proteins in a 5.5-Å cryo-EM map of the 80S eukaryotic ribosome,Jean-Paul Armache; Alexander Jarasch; Andreas M. Anger; Elizabeth Villa; Thomas Becker; Shashi Bhushan; Fabrice Jossinet; Michael Habeck; Gülcin Dindar; Sibylle Franckenberg; Viter Marquez; Thorsten Mielke; Michael Thomm; Otto Berninghausen; Birgitta Beatrix; Johannes Söding; Eric Westhof; Daniel N. Wilson; and Roland Beckmann,Jean-Paul Armache,November 16; 2010 ,Biochemistry,89.0,15,"(365, 2, 182.5)",2-s2.0-78650532579,35331765400
63,63,63,63,Mechanism of 2-oxoglutarate signaling by the Synechococcus elongatus PII signal transduction protein,Oleksandra Fokina; Vasuki-Ranjani Chellamuthu; Karl Forchhammer; and Kornelius Zeth,Oleksandra Fokina,November 16; 2010 ,Biochemistry,59.0,-1,0,0,0
64,64,64,64,Ferredoxin:NADPH oxidoreductase is recruited to thylakoids by binding to a polyproline type II helix in a pH-dependent manner,Ferdinand Alte; Anna Stengel; J. Philipp Benz; Eike Petersen; Jürgen Soll; Michael Groll; and Bettina Bölter,Ferdinand Alte,November 9; 2010 ,Biochemistry,31.0,6,"(0, 0, 0)",2-s2.0-78650627215,37067037100
65,65,65,65,Binding of different histone marks differentially regulates the activity and specificity of polycomb repressive complex 2 (PRC2),Chao Xu; Chuanbing Bian; Wei Yang; Marek Galka; Hui Ouyang; Chen Chen; Wei Qiu; Huadong Liu; Amanda E. Jones; Farrell MacKenzie; Patricia Pan; Shawn Shun-Cheng Li; Hengbin Wang; and Jinrong Min,Chao Xu,November 9; 2010 ,Biochemistry,107.0,22,"(259, 6, 43.166666666666664)",2-s2.0-78650613168,56182786200
66,66,66,66,Uterine epithelial estrogen receptor α is dispensable for proliferation but essential for complete biological and biochemical responses,Wipawee Winuthayanon; Sylvia C. Hewitt; Grant D. Orvis; Richard R. Behringer; and Kenneth S. Korach,Wipawee Winuthayanon,November 9; 2010 ,Biochemistry,103.0,9,"(82, 2, 41.0)",2-s2.0-78650589609,26041211700
67,67,67,67,Crystal structure of prethrombin-1,Zhiwei Chen; Leslie A. Pelc; and Enrico Di Cera,Zhiwei Chen,November 9; 2010 ,Biochemistry,25.0,28,"(69, 4, 17.25)",2-s2.0-78650623661,21833655600
68,68,68,68,Intrinsic apurinic/apyrimidinic (AP) endonuclease activity enables Bacillus subtilis DNA polymerase X to recognize; incise; and further repair abasic sites,Benito Baños; Laurentino Villar; Margarita Salas; and Miguel de Vega,Benito Baños,November 9; 2010 ,Biochemistry,12.0,5,"(38, 2, 19.0)",2-s2.0-78650588193,25627436200
69,69,69,69,Domain structure of the DEMETER 5-methylcytosine DNA glycosylase,Young Geun Mok; Rie Uzawa; Jiyoon Lee; Gregory M. Weiner; Brandt F. Eichman; Robert L. Fischer; and Jin Hoe Huh,Young Geun Mok,November 9; 2010 ,Biochemistry,37.0,2,"(0, 0, 0)",2-s2.0-78650592376,55031013000
70,70,70,70,Affinity purification of microRNA-133a with the cardiac transcription factor; Hand2,Ngan K. Vo; Ryan P. Dalton; Ning Liu; Eric N. Olson; and Richard H. Goodman,Ngan K. Vo,November 9; 2010 ,Biochemistry,37.0,9,"(0, 0, 0)",2-s2.0-78650609452,7006220231
71,71,71,71,β-Subunit myristoylation is the gatekeeper for initiating metabolic stress sensing by AMP-activated protein kinase (AMPK),Jonathan S. Oakhill; Zhi-Ping Chen; John W. Scott; Rohan Steel; Laura A. Castelli; Naomi Ling; S. Lance Macaulay; and Bruce E. Kemp,Jonathan S. Oakhill,November 9; 2010 ,Biochemistry,154.0,19,"(493, 9, 54.77777777777778)",2-s2.0-78650606464,7004528214
72,72,72,72,Omnipotent role of archaeal elongation factor 1 alpha (EF1α) in translational elongation and termination; and quality control of protein synthesis,Kazuki Saito; Kan Kobayashi; Miki Wada; Izumi Kikuno; Akira Takusagawa; Masahiro Mochizuki; Toshio Uchiumi; Ryuichiro Ishitani; Osamu Nureki; and Koichi Ito,Kazuki Saito,November 9; 2010 ,Biochemistry,33.0,-1,0,0,0
73,73,73,73,Definition of a high-affinity Gag recognition structure mediating packaging of a retroviral RNA genome,Cristina Gherghe; Tania Lombo; Christopher W. Leonard; Siddhartha A. K. Datta; Julian W. Bess Jr.; Robert J. Gorelick; Alan Rein; and Kevin M. Weeks,Cristina Gherghe,November 9; 2010 ,Biochemistry,40.0,9,"(148, 3, 49.333333333333336)",2-s2.0-78650628290,8839907900
74,74,74,74,Nucleosome eviction and activated transcription require p300 acetylation of histone H3 lysine 14,Whitney R. Luebben; Neelam Sharma; and Jennifer K. Nyborg,Whitney R. Luebben,November 9; 2010 ,Biochemistry,35.0,1,"(0, 0, 0)",2-s2.0-78650591912,37067661500
75,75,75,75,Crystal structure of Spot 14; a modulator of fatty acid synthesis,Christopher L. Colbert; Chai-Wan Kim; Young-Ah Moon; Lisa Henry; Maya Palnitkar; William B. McKean; Kevin Fitzgerald; Johann Deisenhofer; Jay D. Horton; and Hyock Joo Kwon,Christopher L. Colbert,November 2; 2010 ,Biochemistry,32.0,11,"(110, 2, 55.0)",2-s2.0-78650505999,7004670833
76,76,76,76,Physical and functional interaction between the condensin MukB and the decatenase topoisomerase IV in Escherichia coli,Ryo Hayama and Kenneth J. Marians,Ryo Hayama,November 2; 2010 ,Biochemistry,,7,"(499, 2, 249.5)",2-s2.0-78650495032,26032109100
77,77,77,77,Keap1 perceives stress via three sensors for the endogenous signaling molecules nitric oxide; zinc; and alkenals,Michael McMahon; Douglas J. Lamont; Kenneth A. Beattie; and John D. Hayes,Michael McMahon,November 2; 2010 ,Biochemistry,172.0,24,"(750, 4, 187.5)",2-s2.0-78650509515,7201784109
78,78,78,78,Single-particle cryoelectron microscopy analysis reveals the HIV-1 spike as a tripod structure,Shang-Rung Wu; Robin Löving; Birgitta Lindqvist; Hans Hebert; Philip J. B. Koeck; Mathilda Sjöberg; and Henrik Garoff,Shang-Rung Wu,November 2; 2010 ,Biochemistry,46.0,9,"(18, 2, 9.0)",2-s2.0-78650426126,16507845600
