title,authors,firstAuthor,date,category,citationNumber
Helicobacter pylori proinflammatory protein up-regulates NF-κB as a cell-translocating Ser/Thr kinase,Do Jin Kim; Kang-Seo Park; Jung-Ho Kim; Sang-Hwa Yang; Ji Young Yoon; Byeong-Gu Han; Hyoun Sook Kim; Sang Jae Lee; Jun Young Jang; Kyoung Hoon Kim; Mi Jung Kim; Jin-Su Song; Hie-Joon Kim; Chung-Mo Park; Sang-Kyou Lee; Byung Il Lee; and Se Won Suh,Do Jin Kim,December 14; 2010 ,Biochemistry,27
Identification of Ubxd8 protein as a sensor for unsaturated fatty acids and regulator of triglyceride synthesis,Joon No Lee; Hyeonwoo Kim; Hongbing Yao; Yan Chen; Kayson Weng; and Jin Ye,Joon No Lee,December 14; 2010 ,Biochemistry,48
Targeted insertion of cysteine by decoding UGA codons with mammalian selenocysteine machinery,Xue-Ming Xu; Anton A. Turanov; Bradley A. Carlson; Min-Hyuk Yoo; Robert A. Everley; Renu Nandakumar; Irina Sorokina; Steven P. Gygi; Vadim N. Gladyshev; and Dolph L. Hatfield,Xue-Ming Xu,December 14; 2010 ,Biochemistry,34
Activation and intrinsic γ-secretase activity of presenilin 1,Kwangwook Ahn; Christopher C. Shelton; Yuan Tian; Xulun Zhang; M. Lane Gilchrist; Sangram S. Sisodia; and Yue-Ming Li,Kwangwook Ahn,December 14; 2010 ,Biochemistry,79
Annealing helicase 2 (AH2); a DNA-rewinding motor with an HNH motif,Timur Yusufzai and James T. Kadonaga,Timur Yusufzai,December 7; 2010 ,Biochemistry,33
Oxidation-induced intramolecular disulfide bond inactivates mitogen-activated protein kinase kinase 6 by inhibiting ATP binding,Yarui Diao; Wei Liu; Catherine C. L. Wong; Xi Wang; Kaman Lee; Po-yan Cheung; Lifeng Pan; Tao Xu; Jiahuai Han; John R. Yates III; Mingjie Zhang; and Zhenguo Wu,Yarui Diao,December 7; 2010 ,Biochemistry,18
Coordinated activities of wild-type plus mutant EZH2 drive tumor-associated hypertrimethylation of lysine 27 on histone H3 (H3K27) in human B-cell lymphomas,Christopher J. Sneeringer; Margaret Porter Scott; Kevin W. Kuntz; Sarah K. Knutson; Roy M. Pollock; Victoria M. Richon; and Robert A. Copeland,Christopher J. Sneeringer,December 7; 2010 ,Biochemistry,333
Superfamily-wide portrait of serine hydrolase inhibition achieved by library-versus-library screening,Daniel A. Bachovchin; Tianyang Ji; Weiwei Li; Gabriel M. Simon; Jacqueline L. Blankman; Alexander Adibekian; Heather Hoover; Sherry Niessen; and Benjamin F. Cravatt,Daniel A. Bachovchin,December 7; 2010 ,Biochemistry,115
p53-mediated apoptosis requires inositol hexakisphosphate kinase-2,Michael A. Koldobskiy; Anutosh Chakraborty; J. Kent Werner Jr.; Adele M. Snowman; Krishna R. Juluri; M. Scott Vandiver; Seyun Kim; Shira Heletz; and Solomon H. Snyder,Michael A. Koldobskiy,December 7; 2010 ,Biochemistry,43
Energetics and mechanisms of folding and flipping the myristoyl switch in the β-trefoil protein; hisactophilin,Martin T. J. Smith; Joseph Meissner; Samantha Esmonde; Hannah J. Wong; and Elizabeth M. Meiering,Martin T. J. Smith,December 7; 2010 ,Biochemistry,9
Structural basis for substrate activation and regulation by cystathionine beta-synthase (CBS) domains in cystathionine β-synthase,Markos Koutmos; Omer Kabil; Janet L. Smith; and Ruma Banerjee,Markos Koutmos,December 7; 2010 ,Biochemistry,54
Multiple tail domain interactions stabilize nonmuscle myosin II bipolar filaments,Derek Ricketson; Christopher A. Johnston; and Kenneth E. Prehoda,Derek Ricketson,December 7; 2010 ,Biochemistry,22
RNA editing changes the lesion specificity for the DNA repair enzyme NEIL1,Jongchan Yeo; Rena A. Goodman; Nicole T. Schirle; Sheila S. David; and Peter A. Beal,Jongchan Yeo,November 30; 2010 ,Biochemistry,64
Mechanism of replication blocking and bypass of Y-family polymerase η by bulky acetylaminofluorene DNA adducts,Stephanie Schorr; Sabine Schneider; Katja Lammens; Karl-Peter Hopfner; and Thomas Carell,Stephanie Schorr,November 30; 2010 ,Biochemistry,31
Cell-free fusion of bacteria-containing phagosomes with endocytic compartments,Ulrike Becken; Andreas Jeschke; Katharina Veltman; and Albert Haas,Ulrike Becken,November 30; 2010 ,Biochemistry,18
Asymmetric phosphorylation through catalytic P(III) phosphoramidite transfer: Enantioselective synthesis of d-myo-inositol-6-phosphate,Peter A. Jordan; Katherine J. Kayser-Bricker; and Scott J. Miller,Peter A. Jordan,November 30; 2010 ,Biochemistry,42
Structure of the bacteriophage T4 long tail fiber receptor-binding tip,Sergio G. Bartual; José M. Otero; Carmela Garcia-Doval; Antonio L. Llamas-Saiz; Richard Kahn; Gavin C. Fox; and Mark J. van Raaij,Sergio G. Bartual,November 23; 2010 ,Biochemistry,64
Dynamics of α-helical subdomain rotation in the intact maltose ATP-binding cassette transporter,Cédric Orelle; Frances Joan D. Alvarez; Michael L. Oldham; Arnaud Orelle; Theodore E. Wiley; Jue Chen; and Amy L. Davidson,Cédric Orelle,November 23; 2010 ,Biochemistry,41
Structural basis of oligomerization in septin-like GTPase of immunity-associated protein 2 (GIMAP2),David Schwefel; Chris Fröhlich; Jenny Eichhorst; Burkhard Wiesner; Joachim Behlke; L. Aravind; and Oliver Daumke,David Schwefel,November 23; 2010 ,Biochemistry,28
CpG methylation of half-CRE sequences creates C/EBPα binding sites that activate some tissue-specific genes,Vikas Rishi; Paramita Bhattacharya; Raghunath Chatterjee; Julian Rozenberg; Jianfei Zhao; Kimberly Glass; Peter Fitzgerald; and Charles Vinson,Vikas Rishi,November 23; 2010 ,Biochemistry,113
Tetrameric organization of vertebrate centromeric nucleosomes,Emilios K. Dimitriadis; Christian Weber; Rajbir K. Gill; Stephan Diekmann; and Yamini Dalal,Emilios K. Dimitriadis,November 23; 2010 ,Biochemistry,63
tRNAHis guanylyltransferase (THG1); a unique 3′-5′ nucleotidyl transferase; shares unexpected structural homology with canonical 5′-3′ DNA polymerases,Samantha J. Hyde; Brian E. Eckenroth; Brian A. Smith; William A. Eberley; Nicholas H. Heintz; Jane E. Jackman; and Sylvie Doublié,Samantha J. Hyde,November 23; 2010 ,Biochemistry,28
Generation of longer emission wavelength red fluorescent proteins using computationally designed libraries,Roberto A. Chica; Matthew M. Moore; Benjamin D. Allen; and Stephen L. Mayo,Roberto A. Chica,November 23; 2010 ,Biochemistry,50
Sequence-specific assembly of FtsK hexamers establishes directional translocation on DNA,James E. Graham; David J. Sherratt; and Mark D. Szczelkun,James E. Graham,November 23; 2010 ,Biochemistry,33
Archaeal-like chaperonins in bacteria,Stephen M. Techtmann and Frank T. Robb,Stephen M. Techtmann,November 23; 2010 ,Biochemistry,16
Catalytic activation of histone acetyltransferase Rtt109 by a histone chaperone,Erin M. Kolonko; Brittany N. Albaugh; Scott E. Lindner; Yuanyuan Chen; Kenneth A. Satyshur; Kevin M. Arnold; Paul D. Kaufman; James L. Keck; and John M. Denu,Erin M. Kolonko,November 23; 2010 ,Biochemistry,30
Structure-based development of a receptor activator of nuclear factor-κB ligand (RANKL) inhibitor peptide and molecular basis for osteopetrosis,Hai Minh Ta; Giang Thi Tuyet Nguyen; Hye Mi Jin; Jongkeun Choi; Hyejin Park; Nacksung Kim; Hye-Yeon Hwang; and Kyeong Kyu Kim,Hai Minh Ta,November 23; 2010 ,Biochemistry,36
Filament structure of bacterial tubulin homologue TubZ,Christopher H. S. Aylett; Qing Wang; Katharine A. Michie; Linda A. Amos; and Jan Löwe,Christopher H. S. Aylett,November 16; 2010 ,Biochemistry,52
Phosphorylation of the spindle checkpoint protein Mad2 regulates its conformational transition,Soonjoung Kim; Hongbin Sun; Haydn L. Ball; Katja Wassmann; Xuelian Luo; and Hongtao Yu,Soonjoung Kim,November 16; 2010 ,Biochemistry,25
Structural basis for the one-pot formation of the diarylheptanoid scaffold by curcuminoid synthase from Oryza sativa,Hiroyuki Morita; Kiyofumi Wanibuchi; Hirohiko Nii; Ryohei Kato; Shigetoshi Sugio; and Ikuro Abe,Hiroyuki Morita,November 16; 2010 ,Biochemistry,25
Mechanism of ligand-gated potassium efflux in bacterial pathogens,Tarmo P. Roosild; Samantha Castronovo; Jess Healy; Samantha Miller; Christos Pliotas; Tim Rasmussen; Wendy Bartlett; Stuart J. Conway; and Ian R. Booth,Tarmo P. Roosild,November 16; 2010 ,Biochemistry,36
Role of tyrosyl-DNA phosphodiesterase (TDP1) in mitochondria,Benu Brata Das; Thomas S. Dexheimer; Kasthuraiah Maddali; and Yves Pommier,Benu Brata Das,November 16; 2010 ,Biochemistry,72
Physiologically relevant and portable tandem ubiquitin-binding domain stabilizes polyubiquitylated proteins,An Tyrrell; Karin Flick; Gary Kleiger; Hongwei Zhang; Raymond J. Deshaies; and Peter Kaiser,An Tyrrell,November 16; 2010 ,Biochemistry,11
Method to measure strong protein–protein interactions in lipid bilayers using a steric trap,Heedeok Hong; Tracy M. Blois; Zheng Cao; and James U. Bowie,Heedeok Hong,November 16; 2010 ,Biochemistry,55
Prion disease susceptibility is affected by β-structure folding propensity and local side-chain interactions in PrP,M. Qasim Khan; Braden Sweeting; Vikram Khipple Mulligan; Pharhad Eli Arslan; Neil R. Cashman; Emil F. Pai; and Avijit Chakrabartty,M. Qasim Khan,November 16; 2010 ,Biochemistry,70
Identification of the gene cluster for the dithiolopyrrolone antibiotic holomycin in Streptomyces clavuligerus,Bo Li and Christopher T. Walsh,Bo Li,November 16; 2010 ,Biochemistry,45
Stepwise loading of yeast clamp revealed by ensemble and single-molecule studies,Ravindra Kumar; Vishal C. Nashine; Padmaja P. Mishra; Stephen J. Benkovic; and Tae-Hee Lee,Ravindra Kumar,November 16; 2010 ,Biochemistry,18
Cell division cycle 6; a mitotic substrate of polo-like kinase 1; regulates chromosomal segregation mediated by cyclin-dependent kinase 1 and separase,Hyungshin Yim and Raymond L. Erikson,Hyungshin Yim,November 16; 2010 ,Biochemistry,19
Cryo-EM structure and rRNA model of a translating eukaryotic 80S ribosome at 5.5-Å resolution,Jean-Paul Armache; Alexander Jarasch; Andreas M. Anger; Elizabeth Villa; Thomas Becker; Shashi Bhushan; Fabrice Jossinet; Michael Habeck; Gülcin Dindar; Sibylle Franckenberg; Viter Marquez; Thorsten Mielke; Michael Thomm; Otto Berninghausen; Birgitta Beatrix; Johannes Söding; Eric Westhof; Daniel N. Wilson; and Roland Beckmann,Jean-Paul Armache,November 16; 2010 ,Biochemistry,116
Localization of eukaryote-specific ribosomal proteins in a 5.5-Å cryo-EM map of the 80S eukaryotic ribosome,Jean-Paul Armache; Alexander Jarasch; Andreas M. Anger; Elizabeth Villa; Thomas Becker; Shashi Bhushan; Fabrice Jossinet; Michael Habeck; Gülcin Dindar; Sibylle Franckenberg; Viter Marquez; Thorsten Mielke; Michael Thomm; Otto Berninghausen; Birgitta Beatrix; Johannes Söding; Eric Westhof; Daniel N. Wilson; and Roland Beckmann,Jean-Paul Armache,November 16; 2010 ,Biochemistry,89
Mechanism of 2-oxoglutarate signaling by the Synechococcus elongatus PII signal transduction protein,Oleksandra Fokina; Vasuki-Ranjani Chellamuthu; Karl Forchhammer; and Kornelius Zeth,Oleksandra Fokina,November 16; 2010 ,Biochemistry,59
Ferredoxin:NADPH oxidoreductase is recruited to thylakoids by binding to a polyproline type II helix in a pH-dependent manner,Ferdinand Alte; Anna Stengel; J. Philipp Benz; Eike Petersen; Jürgen Soll; Michael Groll; and Bettina Bölter,Ferdinand Alte,November 9; 2010 ,Biochemistry,31
Binding of different histone marks differentially regulates the activity and specificity of polycomb repressive complex 2 (PRC2),Chao Xu; Chuanbing Bian; Wei Yang; Marek Galka; Hui Ouyang; Chen Chen; Wei Qiu; Huadong Liu; Amanda E. Jones; Farrell MacKenzie; Patricia Pan; Shawn Shun-Cheng Li; Hengbin Wang; and Jinrong Min,Chao Xu,November 9; 2010 ,Biochemistry,107
Uterine epithelial estrogen receptor α is dispensable for proliferation but essential for complete biological and biochemical responses,Wipawee Winuthayanon; Sylvia C. Hewitt; Grant D. Orvis; Richard R. Behringer; and Kenneth S. Korach,Wipawee Winuthayanon,November 9; 2010 ,Biochemistry,103
Crystal structure of prethrombin-1,Zhiwei Chen; Leslie A. Pelc; and Enrico Di Cera,Zhiwei Chen,November 9; 2010 ,Biochemistry,25
Intrinsic apurinic/apyrimidinic (AP) endonuclease activity enables Bacillus subtilis DNA polymerase X to recognize; incise; and further repair abasic sites,Benito Baños; Laurentino Villar; Margarita Salas; and Miguel de Vega,Benito Baños,November 9; 2010 ,Biochemistry,12
Domain structure of the DEMETER 5-methylcytosine DNA glycosylase,Young Geun Mok; Rie Uzawa; Jiyoon Lee; Gregory M. Weiner; Brandt F. Eichman; Robert L. Fischer; and Jin Hoe Huh,Young Geun Mok,November 9; 2010 ,Biochemistry,37
Affinity purification of microRNA-133a with the cardiac transcription factor; Hand2,Ngan K. Vo; Ryan P. Dalton; Ning Liu; Eric N. Olson; and Richard H. Goodman,Ngan K. Vo,November 9; 2010 ,Biochemistry,37
β-Subunit myristoylation is the gatekeeper for initiating metabolic stress sensing by AMP-activated protein kinase (AMPK),Jonathan S. Oakhill; Zhi-Ping Chen; John W. Scott; Rohan Steel; Laura A. Castelli; Naomi Ling; S. Lance Macaulay; and Bruce E. Kemp,Jonathan S. Oakhill,November 9; 2010 ,Biochemistry,154
Omnipotent role of archaeal elongation factor 1 alpha (EF1α) in translational elongation and termination; and quality control of protein synthesis,Kazuki Saito; Kan Kobayashi; Miki Wada; Izumi Kikuno; Akira Takusagawa; Masahiro Mochizuki; Toshio Uchiumi; Ryuichiro Ishitani; Osamu Nureki; and Koichi Ito,Kazuki Saito,November 9; 2010 ,Biochemistry,33
Definition of a high-affinity Gag recognition structure mediating packaging of a retroviral RNA genome,Cristina Gherghe; Tania Lombo; Christopher W. Leonard; Siddhartha A. K. Datta; Julian W. Bess Jr.; Robert J. Gorelick; Alan Rein; and Kevin M. Weeks,Cristina Gherghe,November 9; 2010 ,Biochemistry,40
Nucleosome eviction and activated transcription require p300 acetylation of histone H3 lysine 14,Whitney R. Luebben; Neelam Sharma; and Jennifer K. Nyborg,Whitney R. Luebben,November 9; 2010 ,Biochemistry,35
Crystal structure of Spot 14; a modulator of fatty acid synthesis,Christopher L. Colbert; Chai-Wan Kim; Young-Ah Moon; Lisa Henry; Maya Palnitkar; William B. McKean; Kevin Fitzgerald; Johann Deisenhofer; Jay D. Horton; and Hyock Joo Kwon,Christopher L. Colbert,November 2; 2010 ,Biochemistry,32
Physical and functional interaction between the condensin MukB and the decatenase topoisomerase IV in Escherichia coli,Ryo Hayama and Kenneth J. Marians,Ryo Hayama,November 2; 2010 ,Biochemistry,
Keap1 perceives stress via three sensors for the endogenous signaling molecules nitric oxide; zinc; and alkenals,Michael McMahon; Douglas J. Lamont; Kenneth A. Beattie; and John D. Hayes,Michael McMahon,November 2; 2010 ,Biochemistry,172
Single-particle cryoelectron microscopy analysis reveals the HIV-1 spike as a tripod structure,Shang-Rung Wu; Robin Löving; Birgitta Lindqvist; Hans Hebert; Philip J. B. Koeck; Mathilda Sjöberg; and Henrik Garoff,Shang-Rung Wu,November 2; 2010 ,Biochemistry,46
Escherichia coli condensin MukB stimulates topoisomerase IV activity by a direct physical interaction,Yinyin Li; Nichole K. Stewart; Anthony J. Berger; Seychelle Vos; Allyn J. Schoeffler; James M. Berger; Brian T. Chait; and Martha G. Oakley,Yinyin Li,November 2; 2010 ,Biochemistry,53
Appropriation of the MinD protein-interaction motif by the dimeric interface of the bacterial cell division regulator MinE,Houman Ghasriani; Thierry Ducat; Chris T. Hart; Fatima Hafizi; Nina Chang; Ali Al-Baldawi; Saud H. Ayed; Patrik Lundström; Jo-Anne R. Dillon; and Natalie K. Goto,Houman Ghasriani,October 26; 2010 ,Biochemistry,21
Structure and mechanism of the complex between cytochrome P4503A4 and ritonavir,Irina F. Sevrioukova and Thomas L. Poulos,Irina F. Sevrioukova,October 26; 2010 ,Biochemistry,100
Structural insight into the mechanisms of enveloped virus tethering by tetherin,Haitao Yang; Jimin Wang; Xiaofei Jia; Matthew W. McNatt; Trinity Zang; Baocheng Pan; Wuyi Meng; Hong-Wei Wang; Paul D. Bieniasz; and Yong Xiong,Haitao Yang,October 26; 2010 ,Biochemistry,75
Dimerization of a viral SET protein endows its function,Hua Wei and Ming-Ming Zhou,Hua Wei,October 26; 2010 ,Biochemistry,11
ELOVL1 production of C24 acyl-CoAs is linked to C24 sphingolipid synthesis,Yusuke Ohno; Shota Suto; Masao Yamanaka; Yukiko Mizutani; Susumu Mitsutake; Yasuyuki Igarashi; Takayuki Sassa; and Akio Kihara,Yusuke Ohno,October 26; 2010 ,Biochemistry,120
Structural basis for recognition of arginine methylated Piwi proteins by the extended Tudor domain,Ke Liu; Chen Chen; Yahong Guo; Robert Lam; Chuanbing Bian; Chao Xu; Dorothy Y. Zhao; Jing Jin; Farrell MacKenzie; Tony Pawson; and Jinrong Min,Ke Liu,October 26; 2010 ,Biochemistry,79
Coupling of tandem Smad ubiquitination regulatory factor (Smurf) WW domains modulates target specificity,P. Andrew Chong; Hong Lin; Jeffrey L. Wrana; and Julie D. Forman-Kay,P. Andrew Chong,October 26; 2010 ,Biochemistry,43
Mitochondrial Lon protease regulates mitochondrial DNA copy number and transcription by selective degradation of mitochondrial transcription factor A (TFAM),Yuichi Matsushima; Yu-ichi Goto; and Laurie S. Kaguni,Yuichi Matsushima,October 26; 2010 ,Biochemistry,109
Engineering of self-assembled nanoparticle platform for precisely controlled combination drug therapy,Nagesh Kolishetti; Shanta Dhar; Pedro M. Valencia; Lucy Q. Lin; Rohit Karnik; Stephen J. Lippard; Robert Langer; and Omid C. Farokhzad,Nagesh Kolishetti,October 19; 2010 ,Biochemistry,346
Nucleosome depletion at yeast terminators is not intrinsic and can occur by a transcriptional mechanism linked to 3’-end formation,Xiaochun Fan; Zarmik Moqtaderi; Yi Jin; Yong Zhang; X. Shirley Liu; and Kevin Struhl,Xiaochun Fan,October 19; 2010 ,Biochemistry,53
Structural and functional studies on the extracellular domain of BST2/tetherin in reduced and oxidized conformations,Heidi L. Schubert; Qianting Zhai; Virginie Sandrin; Debra M. Eckert; Mitla Garcia-Maya; Louise Saul; Wesley I. Sundquist; Roberto A. Steiner; and Christopher P. Hill,Heidi L. Schubert,October 19; 2010 ,Biochemistry,66
Structure of bacterial cellulose synthase subunit D octamer with four inner passageways,Song-Qing Hu; Yong-Gui Gao; Kenji Tajima; Naoki Sunagawa; Yong Zhou; Shin Kawano; Takaaki Fujiwara; Takanori Yoda; Daisuke Shimura; Yasuharu Satoh; Masanobu Munekata; Isao Tanaka; and Min Yao,Song-Qing Hu,October 19; 2010 ,Biochemistry,53
Structures of aminoacylase 3 in complex with acetylated substrates,Jennifer M. Hsieh; Kirill Tsirulnikov; Michael R. Sawaya; Nathaniel Magilnick; Natalia Abuladze; Ira Kurtz; Jeff Abramson; and Alexander Pushkin,Jennifer M. Hsieh,October 19; 2010 ,Biochemistry,7
Recruitment of genes and enzymes conferring resistance to the nonnatural toxin bromoacetate,Kevin K. Desai and Brian G. Miller,Kevin K. Desai,October 19; 2010 ,Biochemistry,16
A phosphorylation-regulated amphipathic helix controls the membrane translocation and function of the yeast phosphatidate phosphatase,Eleftherios Karanasios; Gil-Soo Han; Zhi Xu; George M. Carman; and Symeon Siniossoglou,Eleftherios Karanasios,October 12; 2010 ,Biochemistry,99
Strand- and site-specific DNA lesion demarcation by the xeroderma pigmentosum group D helicase,Nadine Mathieu; Nina Kaczmarek; and Hanspeter Naegeli,Nadine Mathieu,October 12; 2010 ,Biochemistry,50
Inhibition of the visual cycle by A2E through direct interaction with RPE65 and implications in Stargardt disease,Gennadiy Moiseyev; Olga Nikolaeva; Ying Chen; Krysten Farjo; Yusuke Takahashi; and Jian-xing Ma,Gennadiy Moiseyev,October 12; 2010 ,Biochemistry,28
Characterization and structure of DhpI; a phosphonate O-methyltransferase involved in dehydrophos biosynthesis,Jin-Hee Lee; Brian Bae; Michael Kuemin; Benjamin T. Circello; William W. Metcalf; Satish K. Nair; and Wilfred A. van der Donk,Jin-Hee Lee,October 12; 2010 ,Biochemistry,28
Structural basis for glucose-6-phosphate activation of glycogen synthase,Sulochanadevi Baskaran; Peter J. Roach; Anna A. DePaoli-Roach; and Thomas D. Hurley,Sulochanadevi Baskaran,October 12; 2010 ,Biochemistry,40
Structural basis for the autoprocessing of zinc metalloproteases in the thermolysin family,Xiang Gao; Jue Wang; Da-Qi Yu; Fei Bian; Bin-Bin Xie; Xiu-Lan Chen; Bai-Cheng Zhou; Lu-Hua Lai; Zhi-Xin Wang; Jia-Wei Wu; and Yu-Zhong Zhang,Xiang Gao,October 12; 2010 ,Biochemistry,32
Structural basis for mRNA surveillance by archaeal Pelota and GTP-bound EF1α complex,Kan Kobayashi; Izumi Kikuno; Kazushige Kuroha; Kazuki Saito; Koichi Ito; Ryuichiro Ishitani; Toshifumi Inada; and Osamu Nureki,Kan Kobayashi,October 12; 2010 ,Biochemistry,62
Defining the mechanism of polymerization in the serpinopathies,Ugo I. Ekeowa; Joanna Freeke; Elena Miranda; Bibek Gooptu; Matthew F. Bush; Juan Pérez; Jeff Teckman; Carol V. Robinson; and David A. Lomas,Ugo I. Ekeowa,October 5; 2010 ,Biochemistry,93
A heterodimeric complex of the LRR proteins LRIM1 and APL1C regulates complement-like immunity in Anopheles gambiae,Richard H. G. Baxter; Stefanie Steinert; Yogarany Chelliah; Gloria Volohonsky; Elena A. Levashina; and Johann Deisenhofer,Richard H. G. Baxter,September 28; 2010 ,Biochemistry,31
Identification of the biosynthetic gene cluster for the pacidamycin group of peptidyl nucleoside antibiotics,Wenjun Zhang; Bohdan Ostash; and Christopher T. Walsh,Wenjun Zhang,September 28; 2010 ,Biochemistry,60
