,Unnamed: 0,title,authors,firstAuthor,date,category,citationNumber,hIndex,impact,eid,authorEid,genders,gendersProbability
19,19,Strategies for stabilizing superoxide dismutase (SOD1); the protein destabilized in the most common form of familial amyotrophic lateral sclerosis,Jared R. Auclair; Kristin J. Boggio; Gregory A. Petsko; Dagmar Ringe; and Jeffrey N. Agar,Jared R. Auclair,December 14; 2010 ,Biochemistry,31.0,7,"(0, 0, 0)",2-s2.0-78650733738,38461028700.0,male,"{'male': 1.0, 'female': 0.0}"
20,20,Structural identification of cation binding pockets in the plasma membrane proton pump,Kira Ekberg; Bjørn P. Pedersen; Danny M. Sørensen; Ann K. Nielsen; Bjarke Veierskov; Poul Nissen; Michael G. Palmgren; and Morten J. Buch-Pedersen,Kira Ekberg,December 14; 2010 ,Biochemistry,9.0,4,"(0, 0, 0)",2-s2.0-78650747006,36463376000.0,female,"{'male': 0.003358124289661646, 'female': 0.9966418757103384}"
21,21,Crystal structure of a 117 kDa glucansucrase fragment provides insight into evolution and product specificity of GH70 enzymes,Andreja Vujičić-Žagar; Tjaard Pijning; Slavko Kralj; Cesar A. López; Wieger Eeuwema; Lubbert Dijkhuizen; and Bauke W. Dijkstra,Andreja Vujičić-Žagar,December 14; 2010 ,Biochemistry,78.0,9,"(73, 3, 24.333333333333332)",2-s2.0-78650734599,14066780700.0,female,"{'male': 8.210968189814594e-06, 'female': 0.9999917890318102}"
22,22,Directed epitope delivery across the Escherichia coli outer membrane through the porin OmpF,Nicholas G. Housden; Justyna A. Wojdyla; Justyna Korczynska; Irina Grishkovskaya; Nadine Kirkpatrick; A. Marek Brzozowski; and Colin Kleanthous,Nicholas G. Housden,December 14; 2010 ,Biochemistry,54.0,15,"(60, 4, 15.0)",2-s2.0-78650758264,6506559744.0,male,"{'male': 1.0, 'female': 0.0}"
23,23,Helicobacter pylori proinflammatory protein up-regulates NF-κB as a cell-translocating Ser/Thr kinase,Do Jin Kim; Kang-Seo Park; Jung-Ho Kim; Sang-Hwa Yang; Ji Young Yoon; Byeong-Gu Han; Hyoun Sook Kim; Sang Jae Lee; Jun Young Jang; Kyoung Hoon Kim; Mi Jung Kim; Jin-Su Song; Hie-Joon Kim; Chung-Mo Park; Sang-Kyou Lee; Byung Il Lee; and Se Won Suh,Do Jin Kim,December 14; 2010 ,Biochemistry,27.0,-1,0,0,0.0,andy,"{'male': 0.9999668598175049, 'female': 3.314018249511719e-05}"
24,24,Identification of Ubxd8 protein as a sensor for unsaturated fatty acids and regulator of triglyceride synthesis,Joon No Lee; Hyeonwoo Kim; Hongbing Yao; Yan Chen; Kayson Weng; and Jin Ye,Joon No Lee,December 14; 2010 ,Biochemistry,48.0,9,"(23, 1, 23.0)",2-s2.0-78650718129,55931469400.0,andy,"{'male': 0.9994871616363525, 'female': 0.0005128383636474609}"
25,25,Targeted insertion of cysteine by decoding UGA codons with mammalian selenocysteine machinery,Xue-Ming Xu; Anton A. Turanov; Bradley A. Carlson; Min-Hyuk Yoo; Robert A. Everley; Renu Nandakumar; Irina Sorokina; Steven P. Gygi; Vadim N. Gladyshev; and Dolph L. Hatfield,Xue-Ming Xu,December 14; 2010 ,Biochemistry,34.0,19,"(80, 4, 20.0)",2-s2.0-78650724971,56647065600.0,andy,"{'male': 0.9999929666519165, 'female': 7.033348083496094e-06}"
26,26,Activation and intrinsic γ-secretase activity of presenilin 1,Kwangwook Ahn; Christopher C. Shelton; Yuan Tian; Xulun Zhang; M. Lane Gilchrist; Sangram S. Sisodia; and Yue-Ming Li,Kwangwook Ahn,December 14; 2010 ,Biochemistry,79.0,8,"(10, 1, 10.0)",2-s2.0-78650718960,25647384400.0,unknown,"{'male': 0.9999998807907104, 'female': 1.1920928955078125e-07}"
27,27,Annealing helicase 2 (AH2); a DNA-rewinding motor with an HNH motif,Timur Yusufzai and James T. Kadonaga,Timur Yusufzai,December 7; 2010 ,Biochemistry,33.0,8,"(227, 3, 75.66666666666667)",2-s2.0-78650448305,7801660341.0,male,"{'male': 1.0, 'female': 0.0}"
28,28,Oxidation-induced intramolecular disulfide bond inactivates mitogen-activated protein kinase kinase 6 by inhibiting ATP binding,Yarui Diao; Wei Liu; Catherine C. L. Wong; Xi Wang; Kaman Lee; Po-yan Cheung; Lifeng Pan; Tao Xu; Jiahuai Han; John R. Yates III; Mingjie Zhang; and Zhenguo Wu,Yarui Diao,December 7; 2010 ,Biochemistry,18.0,9,"(43, 1, 43.0)",2-s2.0-78650476731,34876573000.0,unknown,"{'male': 0.001859728479757905, 'female': 0.9981402715202421}"
29,29,Coordinated activities of wild-type plus mutant EZH2 drive tumor-associated hypertrimethylation of lysine 27 on histone H3 (H3K27) in human B-cell lymphomas,Christopher J. Sneeringer; Margaret Porter Scott; Kevin W. Kuntz; Sarah K. Knutson; Roy M. Pollock; Victoria M. Richon; and Robert A. Copeland,Christopher J. Sneeringer,December 7; 2010 ,Biochemistry,333.0,6,"(0, 0, 0)",2-s2.0-78650454078,37062000500.0,male,"{'male': 1.0, 'female': 0.0}"
30,30,Superfamily-wide portrait of serine hydrolase inhibition achieved by library-versus-library screening,Daniel A. Bachovchin; Tianyang Ji; Weiwei Li; Gabriel M. Simon; Jacqueline L. Blankman; Alexander Adibekian; Heather Hoover; Sherry Niessen; and Benjamin F. Cravatt,Daniel A. Bachovchin,December 7; 2010 ,Biochemistry,115.0,18,"(131, 2, 65.5)",2-s2.0-78650495439,26432510200.0,male,"{'male': 1.0, 'female': 0.0}"
31,31,p53-mediated apoptosis requires inositol hexakisphosphate kinase-2,Michael A. Koldobskiy; Anutosh Chakraborty; J. Kent Werner Jr.; Adele M. Snowman; Krishna R. Juluri; M. Scott Vandiver; Seyun Kim; Shira Heletz; and Solomon H. Snyder,Michael A. Koldobskiy,December 7; 2010 ,Biochemistry,43.0,11,"(70, 1, 70.0)",2-s2.0-78649955044,6507651900.0,male,"{'male': 1.0, 'female': 0.0}"
32,32,Energetics and mechanisms of folding and flipping the myristoyl switch in the β-trefoil protein; hisactophilin,Martin T. J. Smith; Joseph Meissner; Samantha Esmonde; Hannah J. Wong; and Elizabeth M. Meiering,Martin T. J. Smith,December 7; 2010 ,Biochemistry,9.0,3,"(12, 1, 12.0)",2-s2.0-78650486925,26638495500.0,male,"{'male': 1.0, 'female': 0.0}"
33,33,Structural basis for substrate activation and regulation by cystathionine beta-synthase (CBS) domains in cystathionine β-synthase,Markos Koutmos; Omer Kabil; Janet L. Smith; and Ruma Banerjee,Markos Koutmos,December 7; 2010 ,Biochemistry,54.0,16,"(248, 7, 35.42857142857143)",2-s2.0-79952723889,6506316447.0,male,"{'male': 1.0, 'female': 0.0}"
34,34,Multiple tail domain interactions stabilize nonmuscle myosin II bipolar filaments,Derek Ricketson; Christopher A. Johnston; and Kenneth E. Prehoda,Derek Ricketson,December 7; 2010 ,Biochemistry,22.0,5,"(13, 1, 13.0)",2-s2.0-78650486924,15519757500.0,male,"{'male': 0.9999911785125732, 'female': 8.821487426757812e-06}"
35,35,RNA editing changes the lesion specificity for the DNA repair enzyme NEIL1,Jongchan Yeo; Rena A. Goodman; Nicole T. Schirle; Sheila S. David; and Peter A. Beal,Jongchan Yeo,November 30; 2010 ,Biochemistry,64.0,2,"(0, 0, 0)",2-s2.0-78650542645,37068114600.0,unknown,"{'male': 0.3190247416496277, 'female': 0.6809752583503723}"
36,36,Mechanism of replication blocking and bypass of Y-family polymerase η by bulky acetylaminofluorene DNA adducts,Stephanie Schorr; Sabine Schneider; Katja Lammens; Karl-Peter Hopfner; and Thomas Carell,Stephanie Schorr,November 30; 2010 ,Biochemistry,31.0,5,"(21, 3, 7.0)",2-s2.0-78650576180,26029594000.0,female,"{'male': 6.402873168553924e-06, 'female': 0.9999935971268314}"
37,37,Cell-free fusion of bacteria-containing phagosomes with endocytic compartments,Ulrike Becken; Andreas Jeschke; Katharina Veltman; and Albert Haas,Ulrike Becken,November 30; 2010 ,Biochemistry,18.0,5,"(48, 2, 24.0)",2-s2.0-78650534686,23666303100.0,female,"{'male': 0.0003777634119614959, 'female': 0.9996222365880385}"
38,38,Asymmetric phosphorylation through catalytic P(III) phosphoramidite transfer: Enantioselective synthesis of d-myo-inositol-6-phosphate,Peter A. Jordan; Katherine J. Kayser-Bricker; and Scott J. Miller,Peter A. Jordan,November 30; 2010 ,Biochemistry,42.0,13,"(14, 1, 14.0)",2-s2.0-78650534687,36766242600.0,male,"{'male': 0.9999996423721313, 'female': 3.5762786865234375e-07}"
39,39,Structure of the bacteriophage T4 long tail fiber receptor-binding tip,Sergio G. Bartual; José M. Otero; Carmela Garcia-Doval; Antonio L. Llamas-Saiz; Richard Kahn; Gavin C. Fox; and Mark J. van Raaij,Sergio G. Bartual,November 23; 2010 ,Biochemistry,64.0,13,"(44, 1, 44.0)",2-s2.0-78650549528,8836825500.0,male,"{'male': 1.0, 'female': 0.0}"
40,40,Dynamics of α-helical subdomain rotation in the intact maltose ATP-binding cassette transporter,Cédric Orelle; Frances Joan D. Alvarez; Michael L. Oldham; Arnaud Orelle; Theodore E. Wiley; Jue Chen; and Amy L. Davidson,Cédric Orelle,November 23; 2010 ,Biochemistry,41.0,16,"(923, 4, 230.75)",2-s2.0-78650549849,6506393404.0,male,"{'male': 0.9999963045120239, 'female': 3.6954879760742188e-06}"
41,41,Structural basis of oligomerization in septin-like GTPase of immunity-associated protein 2 (GIMAP2),David Schwefel; Chris Fröhlich; Jenny Eichhorst; Burkhard Wiesner; Joachim Behlke; L. Aravind; and Oliver Daumke,David Schwefel,November 23; 2010 ,Biochemistry,28.0,8,"(0, 0, 0)",2-s2.0-78650544157,36099276600.0,male,"{'male': 0.9999995231628418, 'female': 4.76837158203125e-07}"
42,42,CpG methylation of half-CRE sequences creates C/EBPα binding sites that activate some tissue-specific genes,Vikas Rishi; Paramita Bhattacharya; Raghunath Chatterjee; Julian Rozenberg; Jianfei Zhao; Kimberly Glass; Peter Fitzgerald; and Charles Vinson,Vikas Rishi,November 23; 2010 ,Biochemistry,113.0,-1,0,0,0.0,male,"{'male': 1.0, 'female': 0.0}"
43,43,Tetrameric organization of vertebrate centromeric nucleosomes,Emilios K. Dimitriadis; Christian Weber; Rajbir K. Gill; Stephan Diekmann; and Yamini Dalal,Emilios K. Dimitriadis,November 23; 2010 ,Biochemistry,63.0,21,"(256, 4, 64.0)",2-s2.0-78650581735,7003999622.0,unknown,"{'male': 1.0, 'female': 0.0}"
44,44,tRNAHis guanylyltransferase (THG1); a unique 3′-5′ nucleotidyl transferase; shares unexpected structural homology with canonical 5′-3′ DNA polymerases,Samantha J. Hyde; Brian E. Eckenroth; Brian A. Smith; William A. Eberley; Nicholas H. Heintz; Jane E. Jackman; and Sylvie Doublié,Samantha J. Hyde,November 23; 2010 ,Biochemistry,28.0,2,"(0, 0, 0)",2-s2.0-78650524780,37066031400.0,female,"{'male': 3.907140126102604e-05, 'female': 0.999960928598739}"
45,45,Generation of longer emission wavelength red fluorescent proteins using computationally designed libraries,Roberto A. Chica; Matthew M. Moore; Benjamin D. Allen; and Stephen L. Mayo,Roberto A. Chica,November 23; 2010 ,Biochemistry,50.0,11,"(49, 2, 24.5)",2-s2.0-78650543850,6506212848.0,male,"{'male': 1.0, 'female': 0.0}"
46,46,Sequence-specific assembly of FtsK hexamers establishes directional translocation on DNA,James E. Graham; David J. Sherratt; and Mark D. Szczelkun,James E. Graham,November 23; 2010 ,Biochemistry,33.0,23,"(154, 4, 38.5)",2-s2.0-78650535019,57168641100.0,male,"{'male': 1.0, 'female': 0.0}"
47,47,Archaeal-like chaperonins in bacteria,Stephen M. Techtmann and Frank T. Robb,Stephen M. Techtmann,November 23; 2010 ,Biochemistry,16.0,10,"(39, 1, 39.0)",2-s2.0-78650542648,26533406400.0,male,"{'male': 0.9766858220100403, 'female': 0.023314177989959717}"
48,48,Catalytic activation of histone acetyltransferase Rtt109 by a histone chaperone,Erin M. Kolonko; Brittany N. Albaugh; Scott E. Lindner; Yuanyuan Chen; Kenneth A. Satyshur; Kevin M. Arnold; Paul D. Kaufman; James L. Keck; and John M. Denu,Erin M. Kolonko,November 23; 2010 ,Biochemistry,30.0,5,"(178, 3, 59.333333333333336)",2-s2.0-78650539225,24166957100.0,mostly_female,"{'male': 6.015545659465715e-05, 'female': 0.9999398445434053}"
49,49,Structure-based development of a receptor activator of nuclear factor-κB ligand (RANKL) inhibitor peptide and molecular basis for osteopetrosis,Hai Minh Ta; Giang Thi Tuyet Nguyen; Hye Mi Jin; Jongkeun Choi; Hyejin Park; Nacksung Kim; Hye-Yeon Hwang; and Kyeong Kyu Kim,Hai Minh Ta,November 23; 2010 ,Biochemistry,36.0,3,"(0, 0, 0)",2-s2.0-79959970164,36464414700.0,andy,"{'male': 0.9999994039535522, 'female': 5.960464477539062e-07}"
50,50,Filament structure of bacterial tubulin homologue TubZ,Christopher H. S. Aylett; Qing Wang; Katharine A. Michie; Linda A. Amos; and Jan Löwe,Christopher H. S. Aylett,November 16; 2010 ,Biochemistry,52.0,9,"(0, 0, 0)",2-s2.0-78650524797,36699191400.0,male,"{'male': 1.0, 'female': 0.0}"
51,51,Phosphorylation of the spindle checkpoint protein Mad2 regulates its conformational transition,Soonjoung Kim; Hongbin Sun; Haydn L. Ball; Katja Wassmann; Xuelian Luo; and Hongtao Yu,Soonjoung Kim,November 16; 2010 ,Biochemistry,25.0,5,"(0, 0, 0)",2-s2.0-78650569571,37066168700.0,unknown,"{'male': 0.365034818649292, 'female': 0.634965181350708}"
52,52,Structural basis for the one-pot formation of the diarylheptanoid scaffold by curcuminoid synthase from Oryza sativa,Hiroyuki Morita; Kiyofumi Wanibuchi; Hirohiko Nii; Ryohei Kato; Shigetoshi Sugio; and Ikuro Abe,Hiroyuki Morita,November 16; 2010 ,Biochemistry,25.0,22,"(204, 16, 12.75)",2-s2.0-78650544821,7402384527.0,male,"{'male': 0.9999994039535522, 'female': 5.960464477539062e-07}"
53,53,Mechanism of ligand-gated potassium efflux in bacterial pathogens,Tarmo P. Roosild; Samantha Castronovo; Jess Healy; Samantha Miller; Christos Pliotas; Tim Rasmussen; Wendy Bartlett; Stuart J. Conway; and Ian R. Booth,Tarmo P. Roosild,November 16; 2010 ,Biochemistry,36.0,11,"(53, 2, 26.5)",2-s2.0-84896289596,6505779843.0,male,"{'male': 1.0, 'female': 0.0}"
54,54,Role of tyrosyl-DNA phosphodiesterase (TDP1) in mitochondria,Benu Brata Das; Thomas S. Dexheimer; Kasthuraiah Maddali; and Yves Pommier,Benu Brata Das,November 16; 2010 ,Biochemistry,72.0,21,"(365, 7, 52.142857142857146)",2-s2.0-79551570800,7403286038.0,unknown,"{'male': 0.999980092048645, 'female': 1.990795135498047e-05}"
55,55,Physiologically relevant and portable tandem ubiquitin-binding domain stabilizes polyubiquitylated proteins,An Tyrrell; Karin Flick; Gary Kleiger; Hongwei Zhang; Raymond J. Deshaies; and Peter Kaiser,An Tyrrell,November 16; 2010 ,Biochemistry,11.0,2,"(0, 0, 0)",2-s2.0-78650534710,37066705200.0,andy,"{'male': 0.16064928472042084, 'female': 0.8393507152795792}"
56,56,Method to measure strong protein–protein interactions in lipid bilayers using a steric trap,Heedeok Hong; Tracy M. Blois; Zheng Cao; and James U. Bowie,Heedeok Hong,November 16; 2010 ,Biochemistry,55.0,13,"(13, 1, 13.0)",2-s2.0-78650553544,7401521495.0,unknown,"{'male': 0.06032690778374672, 'female': 0.9396730922162533}"
57,57,Prion disease susceptibility is affected by β-structure folding propensity and local side-chain interactions in PrP,M. Qasim Khan; Braden Sweeting; Vikram Khipple Mulligan; Pharhad Eli Arslan; Neil R. Cashman; Emil F. Pai; and Avijit Chakrabartty,M. Qasim Khan,November 16; 2010 ,Biochemistry,70.0,1,"(0, 0, 0)",2-s2.0-78650575242,37066457000.0,unknown,"{'male': 0.9999995231628418, 'female': 4.76837158203125e-07}"
58,58,Identification of the gene cluster for the dithiolopyrrolone antibiotic holomycin in Streptomyces clavuligerus,Bo Li and Christopher T. Walsh,Bo Li,November 16; 2010 ,Biochemistry,45.0,11,"(0, 0, 0)",2-s2.0-78650526727,55698677300.0,male,"{'male': 0.7009494304656982, 'female': 0.29905056953430176}"
59,59,Stepwise loading of yeast clamp revealed by ensemble and single-molecule studies,Ravindra Kumar; Vishal C. Nashine; Padmaja P. Mishra; Stephen J. Benkovic; and Tae-Hee Lee,Ravindra Kumar,November 16; 2010 ,Biochemistry,18.0,31,"(530, 6, 88.33333333333333)",2-s2.0-78650557325,55492124000.0,unknown,"{'male': 0.9999992847442627, 'female': 7.152557373046875e-07}"
60,60,Cell division cycle 6; a mitotic substrate of polo-like kinase 1; regulates chromosomal segregation mediated by cyclin-dependent kinase 1 and separase,Hyungshin Yim and Raymond L. Erikson,Hyungshin Yim,November 16; 2010 ,Biochemistry,19.0,15,"(61, 2, 30.5)",2-s2.0-78650525753,25960525500.0,unknown,"{'male': 0.9967492818832397, 'female': 0.003250718116760254}"
61,61,Cryo-EM structure and rRNA model of a translating eukaryotic 80S ribosome at 5.5-Å resolution,Jean-Paul Armache; Alexander Jarasch; Andreas M. Anger; Elizabeth Villa; Thomas Becker; Shashi Bhushan; Fabrice Jossinet; Michael Habeck; Gülcin Dindar; Sibylle Franckenberg; Viter Marquez; Thorsten Mielke; Michael Thomm; Otto Berninghausen; Birgitta Beatrix; Johannes Söding; Eric Westhof; Daniel N. Wilson; and Roland Beckmann,Jean-Paul Armache,November 16; 2010 ,Biochemistry,116.0,15,"(365, 2, 182.5)",2-s2.0-78650546283,35331765400.0,male,"{'male': 0.9999744892120361, 'female': 2.5510787963867188e-05}"
62,62,Localization of eukaryote-specific ribosomal proteins in a 5.5-Å cryo-EM map of the 80S eukaryotic ribosome,Jean-Paul Armache; Alexander Jarasch; Andreas M. Anger; Elizabeth Villa; Thomas Becker; Shashi Bhushan; Fabrice Jossinet; Michael Habeck; Gülcin Dindar; Sibylle Franckenberg; Viter Marquez; Thorsten Mielke; Michael Thomm; Otto Berninghausen; Birgitta Beatrix; Johannes Söding; Eric Westhof; Daniel N. Wilson; and Roland Beckmann,Jean-Paul Armache,November 16; 2010 ,Biochemistry,89.0,15,"(365, 2, 182.5)",2-s2.0-78650532579,35331765400.0,male,"{'male': 0.9999744892120361, 'female': 2.5510787963867188e-05}"
63,63,Mechanism of 2-oxoglutarate signaling by the Synechococcus elongatus PII signal transduction protein,Oleksandra Fokina; Vasuki-Ranjani Chellamuthu; Karl Forchhammer; and Kornelius Zeth,Oleksandra Fokina,November 16; 2010 ,Biochemistry,59.0,-1,0,0,0.0,female,"{'male': 2.540986770327436e-06, 'female': 0.9999974590132297}"
64,64,Ferredoxin:NADPH oxidoreductase is recruited to thylakoids by binding to a polyproline type II helix in a pH-dependent manner,Ferdinand Alte; Anna Stengel; J. Philipp Benz; Eike Petersen; Jürgen Soll; Michael Groll; and Bettina Bölter,Ferdinand Alte,November 9; 2010 ,Biochemistry,31.0,6,"(0, 0, 0)",2-s2.0-78650627215,37067037100.0,male,"{'male': 1.0, 'female': 0.0}"
65,65,Binding of different histone marks differentially regulates the activity and specificity of polycomb repressive complex 2 (PRC2),Chao Xu; Chuanbing Bian; Wei Yang; Marek Galka; Hui Ouyang; Chen Chen; Wei Qiu; Huadong Liu; Amanda E. Jones; Farrell MacKenzie; Patricia Pan; Shawn Shun-Cheng Li; Hengbin Wang; and Jinrong Min,Chao Xu,November 9; 2010 ,Biochemistry,107.0,22,"(259, 6, 43.166666666666664)",2-s2.0-78650613168,56182786200.0,andy,"{'male': 0.999976396560669, 'female': 2.3603439331054688e-05}"
66,66,Uterine epithelial estrogen receptor α is dispensable for proliferation but essential for complete biological and biochemical responses,Wipawee Winuthayanon; Sylvia C. Hewitt; Grant D. Orvis; Richard R. Behringer; and Kenneth S. Korach,Wipawee Winuthayanon,November 9; 2010 ,Biochemistry,103.0,9,"(82, 2, 41.0)",2-s2.0-78650589609,26041211700.0,unknown,"{'male': 0.9966365098953247, 'female': 0.003363490104675293}"
67,67,Crystal structure of prethrombin-1,Zhiwei Chen; Leslie A. Pelc; and Enrico Di Cera,Zhiwei Chen,November 9; 2010 ,Biochemistry,25.0,28,"(69, 4, 17.25)",2-s2.0-78650623661,21833655600.0,unknown,"{'male': 0.0019326506881043315, 'female': 0.9980673493118957}"
